time_s,vibration_gyro_rms,vibration_accel_rms,altitude_m_baro,temperature_C_baro,motor_output_mean_pwm,altitude_m_ekf
35.19841,0.004017919798193512,9.691176608604984,0.0,0.0,900.0,-0.09640256466691942
35.2024,0.004564741459482464,9.69213959616258,0.0,0.0,900.0,-0.09640471089315003
35.2064,0.00432380534129272,9.680634393677012,0.0,0.0,900.0,-0.09640686249839377
35.2104,0.0030849996705812756,9.69522389576542,0.0,0.0,900.0,-0.09640901410363749
35.2144,0.0028581818907698893,9.701100141291908,0.0,0.0,900.0,-0.09641116570888122
35.218399,0.0025453663722628576,9.696277918361842,0.0,0.0,900.0,-0.09641331677622364
35.2224,0.002130299048229873,9.704505614185049,0.0,0.0,900.0,-0.09641546891936868
35.2264,0.0024689365010392866,9.689862455388562,0.0,0.0,900.0,-0.0964176205246124
35.230399,0.0026010204862200992,9.69198219778317,0.0,0.0,900.0,-0.09641977159195483
35.234401,0.003367685536898016,9.685689887957219,0.0,0.0,900.0,-0.09642192427300118
35.2384,0.00444903230511328,9.700768197210788,0.0,0.0,900.0,-0.0964240753403436
35.2424,0.0036992909915738365,9.701605604962777,0.0,0.0,900.0,-0.09642622694558733
35.2464,0.003949281539505161,9.689237391139248,0.0,0.0,900.0,-0.09642837855083106
35.2504,0.004827605987643503,9.720385339720936,0.0,0.0,900.0,-0.09643053015607479
35.2544,0.003782981860201405,9.713800900145756,0.0,0.0,900.0,-0.09643268176131851
35.2584,0.003575949042518594,9.691244859550977,0.0,0.0,900.0,-0.09643483336656225
35.2624,0.004863987619365341,9.700010795258306,0.0,0.0,900.0,-0.09643698497180597
35.2664,0.00449621473428677,9.7144798913944,0.0,0.0,900.0,-0.09643913657704971
35.270399,0.004555351342875069,9.707620937626604,0.0,0.0,900.0,-0.09644128764439212
35.274399,0.003181544481424877,9.693288959893986,0.0,0.0,900.0,-0.09644343924963586
35.2784,0.0038686006204982945,9.706124825982757,0.0,0.0,900.0,-0.0964455913927809
35.2824,0.0042323426367280766,9.695353946607566,0.0,0.0,900.0,-0.09644774299802462
35.286399,0.0024372944975689505,9.714560537389357,0.0,0.0,900.0,-0.09644989406536705
35.2904,0.0028146167340017325,9.707038932377296,0.0,0.0,900.0,-0.09645204620851208
35.2944,0.004035160330236757,9.699847242785745,0.0,0.0,900.0,-0.09645419781375582
35.298399,0.004654395347453099,9.714164183952004,0.0,0.0,900.0,-0.0964558633101491
35.3024,0.0034606097891528207,9.716810638962194,0.0,0.0,900.0,-0.09645667376174202
35.3064,0.00425342485913425,9.714037499772854,0.0,0.0,900.0,-0.09645748401077267
35.3104,0.003761654917216804,9.706622339516606,0.0,0.0,900.0,-0.09645829425980333
35.3144,0.004024782131375214,9.711398661118533,0.0,0.0,900.0,-0.09645910450883399
35.3192,0.0047132670869289685,9.704067248103387,0.0,0.0,900.0,-0.09646007680767078
35.3232,0.004085930315638177,9.68240670788877,0.0,0.0,900.0,-0.09646088705670144
35.3272,0.002548529359199945,9.703066495138096,0.0,0.0,900.0,-0.0964616973057321
35.3312,0.0030537334771822003,9.679249669976876,0.0,0.0,900.0,-0.09646250755476277
35.335199,0.004149597412045744,9.697321791877854,0.0,0.0,900.0,-0.09646331760123117
35.3392,0.004194072387481236,9.719604038244603,0.0,0.0,900.0,-0.09646412805282407
35.3432,0.004553050488632347,9.705209770296433,0.0,0.0,900.0,-0.09646493830185474
35.3472,0.0038159689114872566,9.689336955759796,0.0,0.0,900.0,-0.0964657485508854
35.3512,0.0027286953925188587,9.714722570307906,0.0,0.0,900.0,-0.09646655879991606
35.3552,0.004144532817916632,9.722827886496395,0.0,0.0,900.0,-0.09646736904894672
35.3592,0.0038244971779429152,9.717489833003842,0.0,0.0,900.0,-0.09646817929797738
35.3632,0.0023426524131784587,9.720726330481387,0.0,0.0,900.0,-0.09646898954700803
35.3672,0.0040697502536891144,9.70482771211259,0.0,0.0,900.0,-0.09646979979603869
35.3712,0.00444574563932265,9.708888186416232,0.0,0.0,900.0,-0.09647061004506935
35.375199,0.0032193503085572173,9.710348306085791,0.0,0.0,900.0,-0.09647142009153775
35.3792,0.0045201020860728665,9.712214458664304,0.0,0.0,900.0,-0.09647223054313067
35.3832,0.004736169891555542,9.709519078743618,0.0,0.0,900.0,-0.09647304079216132
35.3872,0.004770961197628101,9.729944783527896,0.0,0.0,900.0,-0.09647385104119198
35.391205,0.004108123675773968,9.704996589675579,0.0,0.0,900.0,-0.09647466230303393
35.395204,0.00456188342527926,9.699326727943584,0.0,0.0,900.0,-0.09647547234950234
35.399199,0.003909742458214235,9.718368857160575,0.0,0.0,900.0,-0.09647578576301669
35.4032,0.0027969348400742095,9.70514349793515,0.0,0.0,900.0,-0.09647568622073678
35.4072,0.003506263722995133,9.701460834137931,0.0,0.0,900.0,-0.09647558670333622
35.411201,0.0039353200005156005,9.69586148975996,0.0,0.0,900.0,-0.09647548716105632
35.4152,0.00534166635769946,9.710252762351853,0.0,0.0,900.0,-0.09647538766853511
35.4192,0.005431017925713121,9.707146101456285,0.0,0.0,900.0,-0.09647528815113456
35.4232,0.005543981924505008,9.697886138037505,0.0,0.0,900.0,-0.096475188633734
35.4272,0.004924985287907509,9.689161492913655,0.0,0.0,900.0,-0.09647508911633344
35.4312,0.004449678995617514,9.68505094793956,0.0,0.0,900.0,-0.09647498959893289
35.4352,0.003730614614037636,9.675207336814578,0.0,0.0,900.0,-0.09647489008153233
35.4392,0.00451773976744867,9.69189789981676,0.0,0.0,900.0,-0.09647479056413176
35.4432,0.003244602149220846,9.693702662410788,0.0,0.0,900.0,-0.0964746910467312
35.4472,0.004056041376013209,9.69667867332568,0.0,0.0,900.0,-0.09647459152933065
35.4512,0.003838934918106788,9.698260995110648,0.0,0.0,900.0,-0.09647449201193009
35.455999,0.003367361281432227,9.693867281049506,0.0,0.0,900.0,-0.09647437261592878
35.46,0.003057961507785142,9.682021052499048,0.0,0.0,900.0,-0.09647427307364886
35.464,0.0033664386203694327,9.701198945141648,0.0,0.0,900.0,-0.09647417355624831
35.468,0.0035591127211809606,9.69566195027934,0.0,0.0,900.0,-0.09647407403884775
35.471999,0.002827849824069693,9.687809963189562,0.0,0.0,900.0,-0.09647397454632654
35.476,0.0030585244051763274,9.69855109105549,0.0,0.0,900.0,-0.09647387500404664
35.48,0.0033456893174949446,9.71798947937506,0.0,0.0,900.0,-0.09647377548664608
35.483999,0.00465756757284949,9.714697404417462,0.0,0.0,900.0,-0.09647367599412487
35.488,0.0045044973742084755,9.698440734399808,0.0,0.0,900.0,-0.09647357645184497
35.492,0.004597103057611151,9.70060181410921,0.0,0.0,900.0,-0.09647347693444441
35.496,0.003956014099138942,9.689368027700839,0.0,0.0,900.0,-0.09647337741704386
35.500001,0.0034739551819135614,9.682188524306735,0.0,0.0,900.0,-0.09647488277600981
35.504,0.004296346998200359,9.664194129015659,0.0,0.0,900.0,-0.09647699715036762
35.508,0.003985656594520167,9.667918202281317,0.0,0.0,900.0,-0.09647911205345118
35.512,0.00424530512973023,9.689405046284817,0.0,0.0,900.0,-0.09648122695653476
35.516,0.0033253596101577845,9.688881839127754,0.0,0.0,900.0,-0.09648334185961832
35.52,0.0028013679151477227,9.690541588210897,0.0,0.0,900.0,-0.09648545676270188
35.524,0.0034716334100839278,9.684991014630892,0.0,0.0,900.0,-0.09648757166578546
35.528,0.004565399236926826,9.687281622841619,0.0,0.0,900.0,-0.09648968656886903
35.532,0.003765077034847683,9.687541016530242,0.0,0.0,900.0,-0.09649180147195259
35.535999,0.003476033620376814,9.713348075807748,0.0,0.0,900.0,-0.09649391584631038
35.54,0.0032641635506407652,9.729285621988032,0.0,0.0,900.0,-0.09649603127811973
35.544,0.004893184970957748,9.728927335599051,0.0,0.0,900.0,-0.0964981461812033
35.548,0.00451018642180246,9.729677433718262,0.0,0.0,900.0,-0.09650026108428687
35.551999,0.004375801443567922,9.715090516006304,0.0,0.0,900.0,-0.09650237545864467
35.556,0.0037380147316809598,9.706398924689806,0.0,0.0,900.0,-0.096504490890454
35.56,0.0027951935300780453,9.711185216698945,0.0,0.0,900.0,-0.09650660579353758
35.564,0.003071809036647833,9.698694421391547,0.0,0.0,900.0,-0.09650872069662114
35.568,0.003273075987401762,9.703791542335038,0.0,0.0,900.0,-0.0965108355997047
